codigo_original,codigo_normalizado,sigla,numero,pais,categoria
MEX 01,MEX01,MEX,01,México ,Seleção
MEX 02,MEX02,MEX,02,México ,Seleção
MEX 03,MEX03,MEX,03,México ,Seleção
MEX 04,MEX04,MEX,04,México ,Seleção
MEX 05,MEX05,MEX,05,México ,Seleção
MEX 06,MEX06,MEX,06,México ,Seleção
MEX 07,MEX07,MEX,07,México ,Seleção
MEX 08,MEX08,MEX,08,México ,Seleção
MEX 09,MEX09,MEX,09,México ,Seleção
MEX 10,MEX10,MEX,10,México ,Seleção
MEX 11,MEX11,MEX,11,México ,Seleção
MEX 12,MEX12,MEX,12,México ,Seleção
MEX 13,MEX13,MEX,13,México ,Seleção
MEX 14,MEX14,MEX,14,México ,Seleção
MEX 15,MEX15,MEX,15,México ,Seleção
MEX 16,MEX16,MEX,16,México ,Seleção
MEX 17,MEX17,MEX,17,México ,Seleção
MEX 18,MEX18,MEX,18,México ,Seleção
MEX 19,MEX19,MEX,19,México ,Seleção
MEX 20,MEX20,MEX,20,México ,Seleção
RSA 01,RSA01,RSA,01,África do Sul ,Seleção
RSA 02,RSA02,RSA,02,África do Sul ,Seleção
RSA 03,RSA03,RSA,03,África do Sul ,Seleção
RSA 04,RSA04,RSA,04,África do Sul ,Seleção
RSA 05,RSA05,RSA,05,África do Sul ,Seleção
RSA 06,RSA06,RSA,06,África do Sul ,Seleção
RSA 07,RSA07,RSA,07,África do Sul ,Seleção
RSA 08,RSA08,RSA,08,África do Sul ,Seleção
RSA 09,RSA09,RSA,09,África do Sul ,Seleção
RSA 10,RSA10,RSA,10,África do Sul ,Seleção
RSA 11,RSA11,RSA,11,África do Sul ,Seleção
RSA 12,RSA12,RSA,12,África do Sul ,Seleção
RSA 13,RSA13,RSA,13,África do Sul ,Seleção
RSA 14,RSA14,RSA,14,África do Sul ,Seleção
RSA 15,RSA15,RSA,15,África do Sul ,Seleção
RSA 16,RSA16,RSA,16,África do Sul ,Seleção
RSA 17,RSA17,RSA,17,África do Sul ,Seleção
RSA 18,RSA18,RSA,18,África do Sul ,Seleção
RSA 19,RSA19,RSA,19,África do Sul ,Seleção
RSA 20,RSA20,RSA,20,África do Sul ,Seleção
KOR 01,KOR01,KOR,01,Coréia do Sul ,Seleção
KOR 02,KOR02,KOR,02,Coréia do Sul ,Seleção
KOR 03,KOR03,KOR,03,Coréia do Sul ,Seleção
KOR 04,KOR04,KOR,04,Coréia do Sul ,Seleção
KOR 05,KOR05,KOR,05,Coréia do Sul ,Seleção
KOR 06,KOR06,KOR,06,Coréia do Sul ,Seleção
KOR 07,KOR07,KOR,07,Coréia do Sul ,Seleção
KOR 08,KOR08,KOR,08,Coréia do Sul ,Seleção
KOR 09,KOR09,KOR,09,Coréia do Sul ,Seleção
KOR 10,KOR10,KOR,10,Coréia do Sul ,Seleção
